chan_id,spacecraft,primary_class,split
A-8,SMAP,contextual,holdout
B-1,SMAP,point,holdout
C-1,MSL,mixed,holdout
D-14,MSL,point,holdout
D-4,SMAP,point,holdout
D-5,SMAP,point,holdout
D-9,SMAP,point,holdout
E-10,SMAP,contextual,holdout
E-8,SMAP,point,holdout
F-3,SMAP,contextual,holdout
G-1,SMAP,contextual,holdout
G-2,SMAP,point,holdout
G-3,SMAP,point,holdout
G-4,SMAP,point,holdout
M-2,MSL,contextual,holdout
P-1,SMAP,contextual,holdout
P-2,SMAP,point,holdout
R-1,SMAP,point,holdout
T-2,SMAP,point,holdout
T-5,MSL,point,holdout
A-1,SMAP,point,train
A-2,SMAP,contextual,train
A-3,SMAP,contextual,train
A-4,SMAP,contextual,train
A-5,SMAP,point,train
A-6,SMAP,point,train
A-7,SMAP,contextual,train
A-9,SMAP,contextual,train
C-2,MSL,mixed,train
D-1,SMAP,point,train
D-11,SMAP,point,train
D-12,SMAP,point,train
D-13,SMAP,point,train
D-15,MSL,point,train
D-16,MSL,contextual,train
D-2,SMAP,point,train
D-3,SMAP,point,train
D-6,SMAP,point,train
D-7,SMAP,point,train
D-8,SMAP,point,train
E-1,SMAP,contextual,train
E-11,SMAP,contextual,train
E-12,SMAP,contextual,train
E-13,SMAP,contextual,train
E-2,SMAP,point,train
E-3,SMAP,point,train
E-4,SMAP,point,train
E-5,SMAP,point,train
E-6,SMAP,point,train
E-7,SMAP,point,train
E-9,SMAP,point,train
F-1,SMAP,point,train
F-2,SMAP,point,train
F-4,MSL,point,train
F-5,MSL,point,train
F-7,MSL,contextual,train
F-8,MSL,contextual,train
G-6,SMAP,point,train
G-7,SMAP,mixed,train
M-1,MSL,contextual,train
M-3,MSL,contextual,train
M-4,MSL,contextual,train
M-5,MSL,contextual,train
M-6,MSL,point,train
M-7,MSL,point,train
P-10,MSL,point,train
P-11,MSL,point,train
P-14,MSL,point,train
P-15,MSL,point,train
P-3,SMAP,point,train
P-4,SMAP,point,train
P-7,SMAP,contextual,train
S-1,SMAP,point,train
S-2,MSL,point,train
T-1,SMAP,mixed,train
T-12,MSL,contextual,train
T-13,MSL,contextual,train
T-3,SMAP,point,train
T-4,MSL,point,train
T-8,MSL,contextual,train
T-9,MSL,point,train
