L,P_req,surface,duration,timeliness,joint
5,0.7,mean,16,0.750,>1.50
5,0.7,mean,32,0.767,1.281
5,0.7,mean,64,0.829,0.829
5,0.7,mean,128,0.646,0.646
5,0.7,mean,256,0.702,0.702
5,0.7,lo,16,1.322,>1.50
5,0.7,lo,32,1.375,>1.50
5,0.7,lo,64,1.405,1.473
5,0.7,lo,128,1.446,1.446
5,0.7,lo,256,1.444,1.444
5,0.8,mean,16,1.269,>1.50
5,0.8,mean,32,1.296,1.296
5,0.8,mean,64,1.340,1.340
5,0.8,mean,128,1.300,1.300
5,0.8,mean,256,1.318,1.318
5,0.8,lo,16,>1.50,>1.50
5,0.8,lo,32,>1.50,>1.50
5,0.8,lo,64,>1.50,>1.50
5,0.8,lo,128,>1.50,>1.50
5,0.8,lo,256,>1.50,>1.50
5,0.9,mean,16,>1.50,>1.50
5,0.9,mean,32,>1.50,>1.50
5,0.9,mean,64,>1.50,>1.50
5,0.9,mean,128,>1.50,>1.50
5,0.9,mean,256,>1.50,>1.50
5,0.9,lo,16,>1.50,>1.50
5,0.9,lo,32,>1.50,>1.50
5,0.9,lo,64,>1.50,>1.50
5,0.9,lo,128,>1.50,>1.50
5,0.9,lo,256,>1.50,>1.50
10,0.7,mean,16,0.667,>1.50
10,0.7,mean,32,0.667,1.281
10,0.7,mean,64,0.635,0.635
10,0.7,mean,128,0.596,0.596
10,0.7,mean,256,0.639,0.639
10,0.7,lo,16,1.274,>1.50
10,0.7,lo,32,1.232,>1.50
10,0.7,lo,64,1.289,1.473
10,0.7,lo,128,1.327,1.327
10,0.7,lo,256,1.353,1.353
10,0.8,mean,16,1.214,>1.50
10,0.8,mean,32,1.133,1.281
10,0.8,mean,64,1.192,1.192
10,0.8,mean,128,1.150,1.150
10,0.8,mean,256,1.220,1.220
10,0.8,lo,16,>1.50,>1.50
10,0.8,lo,32,>1.50,>1.50
10,0.8,lo,64,>1.50,>1.50
10,0.8,lo,128,>1.50,>1.50
10,0.8,lo,256,>1.50,>1.50
10,0.9,mean,16,>1.50,>1.50
10,0.9,mean,32,>1.50,>1.50
10,0.9,mean,64,>1.50,>1.50
10,0.9,mean,128,>1.50,>1.50
10,0.9,mean,256,>1.50,>1.50
10,0.9,lo,16,>1.50,>1.50
10,0.9,lo,32,>1.50,>1.50
10,0.9,lo,64,>1.50,>1.50
10,0.9,lo,128,>1.50,>1.50
10,0.9,lo,256,>1.50,>1.50
20,0.7,mean,16,0.578,>1.50
20,0.7,mean,32,0.574,1.281
20,0.7,mean,64,0.479,0.479
20,0.7,mean,128,0.524,0.524
20,0.7,mean,256,0.555,0.555
20,0.7,lo,16,1.221,>1.50
20,0.7,lo,32,1.103,>1.50
20,0.7,lo,64,1.113,1.473
20,0.7,lo,128,1.167,1.167
20,0.7,lo,256,1.211,1.211
20,0.8,mean,16,1.143,>1.50
20,0.8,mean,32,0.975,1.281
20,0.8,mean,64,1.017,1.017
20,0.8,mean,128,0.979,0.979
20,0.8,mean,256,1.047,1.047
20,0.8,lo,16,1.467,>1.50
20,0.8,lo,32,>1.50,>1.50
20,0.8,lo,64,1.488,1.488
20,0.8,lo,128,>1.50,>1.50
20,0.8,lo,256,>1.50,>1.50
20,0.9,mean,16,1.500,>1.50
20,0.9,mean,32,>1.50,>1.50
20,0.9,mean,64,>1.50,>1.50
20,0.9,mean,128,>1.50,>1.50
20,0.9,mean,256,>1.50,>1.50
20,0.9,lo,16,>1.50,>1.50
20,0.9,lo,32,>1.50,>1.50
20,0.9,lo,64,>1.50,>1.50
20,0.9,lo,128,>1.50,>1.50
20,0.9,lo,256,>1.50,>1.50
