alpha,duration,n,mean,lo,hi,sd,quantity
0.1,16,20,0.5700000000000001,0.3933333333333333,0.7433333333333334,0.4168806468093842,pdet
0.25,16,20,0.6466666666666667,0.4666666666666666,0.8133333333333332,0.4087350333472531,pdet
0.5,16,20,0.6833333333333333,0.5133333333333333,0.8399999999999999,0.38319982419510307,pdet
0.75,16,20,0.7366666666666666,0.5800000000000001,0.8733333333333334,0.34300017901892926,pdet
1.0,16,20,0.76,0.61,0.8933333333333333,0.32616861423546056,pdet
1.5,16,20,0.9,0.8133333333333332,0.9733333333333333,0.18669172764102496,pdet
0.1,32,20,0.6233333333333333,0.44333333333333325,0.7966666666666666,0.4128208481067531,pdet
0.25,32,20,0.6599999999999999,0.4833333333333333,0.8300000000000001,0.4063242734623153,pdet
0.5,32,20,0.7066666666666666,0.5499999999999999,0.8533333333333333,0.35764008828504956,pdet
0.75,32,20,0.77,0.6266666666666666,0.9,0.32043464633697055,pdet
1.0,32,20,0.8166666666666667,0.69,0.9233333333333335,0.2751926491606322,pdet
1.5,32,20,0.9166666666666667,0.8300000000000001,0.9766666666666666,0.1820930936000652,pdet
0.1,64,20,0.72,0.5499999999999999,0.8799999999999999,0.3878867622784737,pdet
0.25,64,20,0.7633333333333333,0.5932499999999999,0.9166666666666667,0.37368091589026164,pdet
0.5,64,20,0.7999999999999999,0.6566666666666666,0.9233333333333335,0.31269438398822863,pdet
0.75,64,20,0.7966666666666666,0.6599999999999999,0.9133333333333333,0.3000779625792787,pdet
1.0,64,20,0.8433333333333334,0.7233333333333334,0.9366666666666668,0.2515681810317083,pdet
1.5,64,20,0.9400000000000001,0.8633333333333333,0.9933333333333334,0.16026294183720635,pdet
0.1,128,20,0.7933333333333333,0.6266666666666667,0.9366666666666668,0.3670014420673742,pdet
0.25,128,20,0.8266666666666665,0.6766666666666665,0.95,0.32256283670895974,pdet
0.5,128,20,0.8400000000000001,0.7000000000000001,0.95,0.29451119181664925,pdet
0.75,128,20,0.86,0.7399166666666667,0.9566666666666667,0.25946413514568945,pdet
1.0,128,20,0.8933333333333333,0.7700000000000001,0.9766666666666668,0.2441359030976119,pdet
1.5,128,20,0.9733333333333334,0.9199999999999999,1.0,0.11925695879998878,pdet
0.1,256,19,0.8159489633173844,0.6318979266347688,0.9617224880382775,0.37315384708972327,pdet
0.25,256,19,0.8650717703349283,0.7263157894736841,0.9808612440191388,0.29013534942975894,pdet
0.5,256,19,0.9075187969924813,0.7834586466165414,0.9930701754385952,0.24501744730155656,pdet
0.75,256,19,0.9333333333333333,0.8210526315789474,1.0,0.23094010767585033,pdet
