chan_id,cls,fp_rate_no_injection,admissible,n_real_anomalies,calibration_monotone
A-8,contextual,0.0,True,1,True
B-1,point,0.0,True,1,True
C-1,point,0.00389,True,2,True
D-14,point,0.0,True,2,True
D-4,point,0.00368,True,1,True
D-5,point,1.0,False,1,True
D-9,point,0.0,True,1,True
E-10,contextual,0.02087,True,2,True
E-8,point,0.08021,False,1,True
F-3,contextual,0.17576,False,1,True
G-1,contextual,0.0,True,1,True
G-2,point,0.0,True,1,True
G-3,point,0.0,True,1,True
G-4,point,0.03026,True,1,True
M-2,contextual,0.01721,True,1,True
P-1,contextual,0.05588,False,3,True
P-2,point,0.03973,True,1,True
R-1,point,1.0,False,1,True
T-2,point,0.72093,False,1,True
T-5,point,0.0,True,1,True
