chan_id,predicted_f1,alpha_hat_mean,d_real_max,cls,fp_rate,observed_f1,admissible,abs_err
A-8,0.07048773023670905,0.11706173880184988,3805,contextual,0.0,0.0,True,0.07048773023670905
B-1,0.8370583836233721,0.9073814650980887,70,point,0.0,0.045841519318926,True,0.7912168643044462
C-1,0.5637423218369849,0.3745939623475727,200,point,0.00389,0.9904153354632588,True,0.42667301362627386
D-14,0.8953545276474747,0.9326116296672821,200,point,0.0,0.8924949290060852,True,0.002859598641389516
D-4,0.9802,1.5,3247,point,0.00368,0.9969296898986798,True,0.016729689898679845
D-5,0.06118749999999999,1.098421824127057,50,point,1.0,0.0131337010769634,False,0.04805379892303659
D-9,0.9588331908610563,0.9008106117790209,1155,point,0.0,1.0,True,0.04116680913894366
E-10,0.8444360547537093,1.3481887994882136,270,contextual,0.02087,0.7852760736196319,True,0.05915998113407739
E-8,0.8042484316538085,0.3751188141054107,622,point,0.08021,0.6263846928499497,False,0.17786373880385886
F-3,0.1951825777896636,0.11688982381071941,40,contextual,0.17576,0.0278940027894002,False,0.1672885750002634
G-1,0.9628197169355606,0.5699939484973767,120,contextual,0.0,0.0,True,0.9628197169355606
G-2,0.653295316232946,0.7441067047423522,40,point,0.0,0.851063829787234,True,0.19776851355428804
G-3,0.38965000000000005,1.5,50,point,0.0,1.0,True,0.61035
G-4,0.49745000000000006,1.5,30,point,0.03026,0.1869158878504672,True,0.31053411214953286
M-2,0.8306683201622987,0.6371801811543986,1140,contextual,0.01721,0.9917355371900828,True,0.16106721702778404
P-1,0.8911338236036691,0.26715055229126233,308,contextual,0.05588,0.7675731144176501,False,0.12356070918601902
P-2,0.8928,1.5,1225,point,0.03973,0.7348530293941212,True,0.1579469706058788
R-1,0.10185000000000002,0.7455322062729604,80,point,1.0,0.0220385674931129,False,0.07981143250688713
T-2,0.2617908178328805,0.15329334084734153,1784,point,0.72093,0.4220487343269458,False,0.1602579164940653
T-5,0.5763442145626814,0.7908928651942255,25,point,0.0,0.7246376811594203,True,0.14829346659673892
