chan_id,spacecraft,anomaly_class,detector,alpha,duration,f1_pa,f1_pw,p_pa,p_pw,r_pa,r_pw,latency,n_replicas,fp_rate_no_injection
P-1,SMAP,"[contextual, contextual, contextual]",lstm,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,1,0.05588
P-1,SMAP,"[contextual, contextual, contextual]",vae,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,1,0.02185
P-1,SMAP,"[contextual, contextual, contextual]",lstm,0.1,16,0.2041,0.0177,0.123,0.011,0.6,0.0458,7.13,5,
P-1,SMAP,"[contextual, contextual, contextual]",vae,0.1,16,0.0,0.0,0.0,0.0,0.0,0.0,,5,
P-1,SMAP,"[contextual, contextual, contextual]",lstm,0.1,32,0.4145,0.0284,0.2799,0.021,0.8,0.0438,9.23,5,
P-1,SMAP,"[contextual, contextual, contextual]",vae,0.1,32,0.0,0.0,0.0,0.0,0.0,0.0,,5,
P-1,SMAP,"[contextual, contextual, contextual]",lstm,0.1,64,0.6709,0.0532,0.5048,0.0522,1.0,0.0542,16.53,5,
P-1,SMAP,"[contextual, contextual, contextual]",vae,0.1,64,0.0,0.0,0.0,0.0,0.0,0.0,,5,
P-1,SMAP,"[contextual, contextual, contextual]",lstm,0.1,128,0.8083,0.0642,0.6782,0.0934,1.0,0.049,31.13,5,
P-1,SMAP,"[contextual, contextual, contextual]",vae,0.1,128,0.0,0.0,0.0,0.0,0.0,0.0,,5,
P-1,SMAP,"[contextual, contextual, contextual]",lstm,0.1,256,0.9085,0.0694,0.8323,0.1763,1.0,0.0432,14.47,5,
P-1,SMAP,"[contextual, contextual, contextual]",vae,0.1,256,0.0,0.0,0.0,0.0,0.0,0.0,,5,
P-1,SMAP,"[contextual, contextual, contextual]",lstm,0.25,16,0.1429,0.0176,0.087,0.0109,0.4,0.0458,5.1,5,
P-1,SMAP,"[contextual, contextual, contextual]",vae,0.25,16,0.0,0.0,0.0,0.0,0.0,0.0,,5,
P-1,SMAP,"[contextual, contextual, contextual]",lstm,0.25,32,0.4443,0.03,0.2989,0.0223,0.8667,0.0458,11.2,5,
