duration,requirement,f1_target,latency_budget,alpha_mdf,status,alpha_mdf_conservative,status_conservative,alpha_mdf_optimistic,status_optimistic,detector
16,F1>=0.50,0.5,,,right_censored,,right_censored,1.2227285820250637,ok,lstm
32,F1>=0.50,0.5,,1.2806045529926129,ok,,right_censored,0.46922808959126605,ok,lstm
64,F1>=0.50,0.5,,0.33270167839740084,ok,1.4730658556875365,ok,0.1,left_censored,lstm
128,F1>=0.50,0.5,,0.1,left_censored,0.5783264371912734,ok,0.1,left_censored,lstm
256,F1>=0.50,0.5,,0.1,left_censored,0.1321371387631144,ok,0.1,left_censored,lstm
16,F1>=0.70,0.7,,,right_censored,,right_censored,,right_censored,lstm
32,F1>=0.70,0.7,,,right_censored,,right_censored,,right_censored,lstm
64,F1>=0.70,0.7,,,right_censored,,right_censored,1.0387539873952043,ok,lstm
128,F1>=0.70,0.7,,1.1808263347330523,ok,,right_censored,0.1,left_censored,lstm
256,F1>=0.70,0.7,,0.22451965065502172,ok,,right_censored,0.1,left_censored,lstm
16,F1>=0.80,0.8,,,right_censored,,right_censored,,right_censored,lstm
32,F1>=0.80,0.8,,,right_censored,,right_censored,,right_censored,lstm
64,F1>=0.80,0.8,,,right_censored,,right_censored,,right_censored,lstm
128,F1>=0.80,0.8,,,right_censored,,right_censored,0.946173264808092,ok,lstm
256,F1>=0.80,0.8,,1.3395733807354748,ok,,right_censored,0.1,left_censored,lstm
16,F1>=0.50,0.5,,,right_censored,,right_censored,,right_censored,vae
32,F1>=0.50,0.5,,,right_censored,,right_censored,,right_censored,vae
64,F1>=0.50,0.5,,,right_censored,,right_censored,,right_censored,vae
128,F1>=0.50,0.5,,1.1336663891201777,ok,1.3774621814115018,ok,0.6938597581739268,ok,vae
256,F1>=0.50,0.5,,0.720384591175175,ok,0.9554175784600589,ok,0.34212507341769377,ok,vae
16,F1>=0.70,0.7,,,right_censored,,right_censored,,right_censored,vae
32,F1>=0.70,0.7,,,right_censored,,right_censored,,right_censored,vae
64,F1>=0.70,0.7,,,right_censored,,right_censored,,right_censored,vae
128,F1>=0.70,0.7,,,right_censored,,right_censored,1.4946965651773763,ok,vae
256,F1>=0.70,0.7,,1.194342769772506,ok,,right_censored,0.8282037341737697,ok,vae
16,F1>=0.80,0.8,,,right_censored,,right_censored,,right_censored,vae
32,F1>=0.80,0.8,,,right_censored,,right_censored,,right_censored,vae
64,F1>=0.80,0.8,,,right_censored,,right_censored,,right_censored,vae
128,F1>=0.80,0.8,,,right_censored,,right_censored,,right_censored,vae
256,F1>=0.80,0.8,,,right_censored,,right_censored,1.2238761250470682,ok,vae
