duration,requirement,f1_target,latency_budget,alpha_mdf,status,alpha_mdf_conservative,status_conservative,alpha_mdf_optimistic,status_optimistic,group
16,F1>=0.50,0.5,,,right_censored,,right_censored,1.2227285820250637,ok,all
32,F1>=0.50,0.5,,1.2806045529926129,ok,,right_censored,0.46922808959126605,ok,all
64,F1>=0.50,0.5,,0.33270167839740084,ok,1.4730658556875365,ok,0.1,left_censored,all
128,F1>=0.50,0.5,,0.1,left_censored,0.5783264371912734,ok,0.1,left_censored,all
256,F1>=0.50,0.5,,0.1,left_censored,0.1321371387631144,ok,0.1,left_censored,all
16,F1>=0.70,0.7,,,right_censored,,right_censored,,right_censored,all
32,F1>=0.70,0.7,,,right_censored,,right_censored,,right_censored,all
64,F1>=0.70,0.7,,,right_censored,,right_censored,1.0387539873952043,ok,all
128,F1>=0.70,0.7,,1.1808263347330523,ok,,right_censored,0.1,left_censored,all
256,F1>=0.70,0.7,,0.22451965065502172,ok,,right_censored,0.1,left_censored,all
16,F1>=0.80,0.8,,,right_censored,,right_censored,,right_censored,all
32,F1>=0.80,0.8,,,right_censored,,right_censored,,right_censored,all
64,F1>=0.80,0.8,,,right_censored,,right_censored,,right_censored,all
128,F1>=0.80,0.8,,,right_censored,,right_censored,0.946173264808092,ok,all
256,F1>=0.80,0.8,,1.3395733807354748,ok,,right_censored,0.1,left_censored,all
16,F1>=0.50,0.5,,,right_censored,,right_censored,,right_censored,point
32,F1>=0.50,0.5,,,right_censored,,right_censored,0.12587757367783636,ok,point
64,F1>=0.50,0.5,,0.21250934462995275,ok,,right_censored,0.1,left_censored,point
128,F1>=0.50,0.5,,0.1,left_censored,1.3519132241153045,ok,0.1,left_censored,point
256,F1>=0.50,0.5,,0.1,left_censored,0.1,left_censored,0.1,left_censored,point
16,F1>=0.70,0.7,,,right_censored,,right_censored,,right_censored,point
32,F1>=0.70,0.7,,,right_censored,,right_censored,,right_censored,point
64,F1>=0.70,0.7,,,right_censored,,right_censored,1.080529583807738,ok,point
128,F1>=0.70,0.7,,,right_censored,,right_censored,0.1,left_censored,point
256,F1>=0.70,0.7,,0.1,left_censored,,right_censored,0.1,left_censored,point
16,F1>=0.80,0.8,,,right_censored,,right_censored,,right_censored,point
32,F1>=0.80,0.8,,,right_censored,,right_censored,,right_censored,point
64,F1>=0.80,0.8,,,right_censored,,right_censored,,right_censored,point
128,F1>=0.80,0.8,,,right_censored,,right_censored,0.9499808578024748,ok,point
256,F1>=0.80,0.8,,,right_censored,,right_censored,0.1,left_censored,point
16,F1>=0.50,0.5,,1.3159804697809447,ok,,right_censored,0.555591524426133,ok,contextual
32,F1>=0.50,0.5,,0.7737688098495211,ok,,right_censored,0.4411102775693923,ok,contextual
64,F1>=0.50,0.5,,0.3572523522571097,ok,1.1966316591391415,ok,0.1,left_censored,contextual
128,F1>=0.50,0.5,,0.10059055118110245,ok,0.4026333789329685,ok,0.1,left_censored,contextual
256,F1>=0.50,0.5,,0.10224514009309119,ok,0.22886247877758914,ok,0.1,left_censored,contextual
16,F1>=0.70,0.7,,,right_censored,,right_censored,1.1644712250115872,ok,contextual
32,F1>=0.70,0.7,,,right_censored,,right_censored,0.7344105148730112,ok,contextual
64,F1>=0.70,0.7,,1.2441351540616248,ok,,right_censored,0.365085778219791,ok,contextual
128,F1>=0.70,0.7,,0.46112351190476175,ok,,right_censored,0.1,left_censored,contextual
256,F1>=0.70,0.7,,0.2391439262571872,ok,0.4628071253071251,ok,0.1,left_censored,contextual
16,F1>=0.80,0.8,,,right_censored,,right_censored,,right_censored,contextual
32,F1>=0.80,0.8,,,right_censored,,right_censored,1.2465400557337898,ok,contextual
64,F1>=0.80,0.8,,,right_censored,,right_censored,0.8404594767070839,ok,contextual
128,F1>=0.80,0.8,,1.2047628537265842,ok,,right_censored,0.30280770486451186,ok,contextual
256,F1>=0.80,0.8,,0.4047829286239884,ok,,right_censored,0.1,left_censored,contextual
