duration,f1_target,lat_budget,p_timely_req,alpha,status
16,0.5,5,0.5,,right_censored
32,0.5,5,0.5,1.2806045529926129,ok
64,0.5,5,0.5,0.33270167839740084,ok
128,0.5,5,0.5,0.1,left_censored
256,0.5,5,0.5,0.1,left_censored
16,0.5,5,0.7,,right_censored
32,0.5,5,0.7,1.2806045529926129,ok
64,0.5,5,0.7,0.8289473684210525,ok
128,0.5,5,0.7,0.6458333333333333,ok
256,0.5,5,0.7,0.7017804154302671,ok
16,0.5,10,0.5,,right_censored
32,0.5,10,0.5,1.2806045529926129,ok
64,0.5,10,0.5,0.33270167839740084,ok
128,0.5,10,0.5,0.1,left_censored
256,0.5,10,0.5,0.1,left_censored
16,0.5,10,0.7,,right_censored
32,0.5,10,0.7,1.2806045529926129,ok
64,0.5,10,0.7,0.6346153846153846,ok
128,0.5,10,0.7,0.5961538461538459,ok
256,0.5,10,0.7,0.6394658753709197,ok
16,0.5,20,0.5,,right_censored
32,0.5,20,0.5,1.2806045529926129,ok
64,0.5,20,0.5,0.33270167839740084,ok
128,0.5,20,0.5,0.1,left_censored
256,0.5,20,0.5,0.1,left_censored
16,0.5,20,0.7,,right_censored
32,0.5,20,0.7,1.2806045529926129,ok
64,0.5,20,0.7,0.4791666666666665,ok
128,0.5,20,0.7,0.523809523809524,ok
256,0.5,20,0.7,0.5551601423487542,ok
16,0.7,5,0.5,,right_censored
32,0.7,5,0.5,,right_censored
64,0.7,5,0.5,,right_censored
128,0.7,5,0.5,1.1808263347330523,ok
256,0.7,5,0.5,0.22451965065502172,ok
16,0.7,5,0.7,,right_censored
32,0.7,5,0.7,,right_censored
64,0.7,5,0.7,,right_censored
128,0.7,5,0.7,1.1808263347330523,ok
256,0.7,5,0.7,0.7017804154302671,ok
16,0.7,10,0.5,,right_censored
32,0.7,10,0.5,,right_censored
64,0.7,10,0.5,,right_censored
128,0.7,10,0.5,1.1808263347330523,ok
256,0.7,10,0.5,0.22451965065502172,ok
16,0.7,10,0.7,,right_censored
32,0.7,10,0.7,,right_censored
64,0.7,10,0.7,,right_censored
128,0.7,10,0.7,1.1808263347330523,ok
256,0.7,10,0.7,0.6394658753709197,ok
16,0.7,20,0.5,,right_censored
32,0.7,20,0.5,,right_censored
64,0.7,20,0.5,,right_censored
128,0.7,20,0.5,1.1808263347330523,ok
256,0.7,20,0.5,0.22451965065502172,ok
16,0.7,20,0.7,,right_censored
32,0.7,20,0.7,,right_censored
64,0.7,20,0.7,,right_censored
128,0.7,20,0.7,1.1808263347330523,ok
256,0.7,20,0.7,0.5551601423487542,ok
16,0.8,5,0.5,,right_censored
32,0.8,5,0.5,,right_censored
64,0.8,5,0.5,,right_censored
128,0.8,5,0.5,,right_censored
256,0.8,5,0.5,1.3395733807354748,ok
16,0.8,5,0.7,,right_censored
32,0.8,5,0.7,,right_censored
64,0.8,5,0.7,,right_censored
128,0.8,5,0.7,,right_censored
256,0.8,5,0.7,1.3395733807354748,ok
16,0.8,10,0.5,,right_censored
32,0.8,10,0.5,,right_censored
64,0.8,10,0.5,,right_censored
128,0.8,10,0.5,,right_censored
256,0.8,10,0.5,1.3395733807354748,ok
16,0.8,10,0.7,,right_censored
32,0.8,10,0.7,,right_censored
64,0.8,10,0.7,,right_censored
128,0.8,10,0.7,,right_censored
256,0.8,10,0.7,1.3395733807354748,ok
16,0.8,20,0.5,,right_censored
32,0.8,20,0.5,,right_censored
64,0.8,20,0.5,,right_censored
128,0.8,20,0.5,,right_censored
256,0.8,20,0.5,1.3395733807354748,ok
16,0.8,20,0.7,,right_censored
32,0.8,20,0.7,,right_censored
64,0.8,20,0.7,,right_censored
128,0.8,20,0.7,,right_censored
256,0.8,20,0.7,1.3395733807354748,ok
