test,predictor,n,rho,p,mae,n_floor,n_ceiling,n_interior
ladder_all,ENVELOPE,20,0.7963869589257898,2.6558305736666475e-05,0.15946345339043838,,,
ladder_all,ALPHA-HAT,20,0.3523792098108952,0.12756366383558096,,,,
ladder_all,SHAPE,20,0.5177230625036763,0.019382021478183225,0.32309489931574353,,,
ladder_all,CHANNEL,20,0.30248315560651073,0.19488485420673554,0.3156265136466008,,,
ladder_contextual,ENVELOPE,6,0.9411764705882354,0.005088540606554023,,,,
ladder_contextual,ALPHA-HAT,6,0.5852390484520126,0.22236500250754876,,,,
ladder_contextual,SHAPE,6,0.7500000000000001,0.0859374999999999,,,,
ladder_contextual,CHANNEL,6,-0.057977103565244846,0.9131317851623264,,,,
contextual_loo,drop_A-8,5,0.8999999999999998,0.03738607346849874,,,,
contextual_loo,drop_E-10,5,1.0,0.0,,,,
contextual_loo,drop_F-3,5,0.8947368421052632,0.04034313006075299,,,,
contextual_loo,drop_G-1,5,0.8999999999999998,0.03738607346849874,,,,
contextual_loo,drop_M-2,5,0.8947368421052632,0.04034313006075299,,,,
contextual_loo,drop_P-1,5,1.0,0.0,,,,
duration_alone,all 20,20,0.19623353557644796,0.40700068875383605,,,,
duration_alone,contextual 6,6,0.1449427589131121,0.7841083696021083,,,,
censoring,alpha_hat_ar,20,,,,5.0,5.0,10.0
censoring,alpha_hat_dist,20,,,,0.0,4.0,16.0
censoring,duration_clamped,25,,,,9.0,,
