chan_id,detector,cls,clean_len,chance_w6,chance_w11,chance_w21,chance_w16,chance_w32,chance_w64,chance_w128,chance_w256,fp_rate_stepwise
P-1,lstm,contextual,3661,0.28257238307349664,0.45330359632004463,0.6709533128319821,0.576214405360134,0.811833987661245,0.9476513865308432,1.0,1.0,0.05587989991659716
P-1,vae,contextual,3661,0.02324945295404814,0.024650780608052588,0.027464982147761604,0.02605595172792101,0.030578512396694214,0.039744302390216785,0.05857385398981324,0.0983558426306518,0.02185195301830101
E-8,lstm,point,5400,0.17801538172950665,0.2510326699211416,0.39635063957863054,0.3236233790640857,0.551555136663525,0.8334913711359757,1.0,1.0,0.08020989505247376
E-8,vae,point,5400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E-10,lstm,contextual,5000,0.12532954775907523,0.23000406008932198,0.38771358828315705,0.3188376346271083,0.5341488277268094,0.8255694643956495,1.0,1.0,0.02086709886547812
E-10,vae,contextual,5000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P-2,lstm,point,5350,0.12289339140314334,0.18953752843062927,0.3070641853399164,0.2504268639726807,0.42397716460513796,0.742485161784415,0.9755766621438263,1.0,0.039727582292849034
P-2,vae,point,5350,0.07371375116931712,0.07565543071161049,0.07954971857410882,0.07760074976569822,0.08385034780973867,0.09646302250803858,0.122152019911928,0.1662414131501472,0.07177570093457944
D-4,lstm,point,5225,0.017843289371605897,0.0314502038439138,0.05757634701419957,0.04508356004663817,0.08284600389863547,0.15241271086700667,0.28943186332936033,0.5354667753770893,0.0036814570819608604
D-4,vae,point,5225,0.06532567049808428,0.06615532118887824,0.06628242074927954,0.06621880998080615,0.06642279553330767,0.0668345602479659,0.06767359748921145,0.06941649899396378,0.06430622009569378
G-1,lstm,contextual,4770,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-1,vae,contextual,4770,0.13179433368310597,0.1361344537815126,0.1431578947368421,0.14048370136698213,0.148132517408736,0.14956447843637136,0.15162610381219038,0.15592469545957918,0.12746331236897274
G-2,lstm,point,4030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-2,vae,point,4030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D-5,lstm,point,4800,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
D-5,vae,point,4800,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
G-3,lstm,point,4200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-3,vae,point,4200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T-2,lstm,point,6840,0.845813026140895,0.9442802246526751,1.0,0.9986688359710102,1.0,1.0,1.0,1.0,0.720926800472255
T-2,vae,point,6840,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D-9,lstm,point,6250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D-9,vae,point,6250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-4,lstm,point,4690,0.15559402726682536,0.27274696707105717,0.49348675640468953,0.3890696161353286,0.635038084874864,0.98005698005698,1.0,1.0,0.030263726761781237
G-4,vae,point,4690,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B-1,lstm,point,5060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B-1,vae,point,5060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-1,lstm,point,4510,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R-1,vae,point,4510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A-8,lstm,contextual,4569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A-8,vae,contextual,4569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F-3,lstm,contextual,5600,0.17790634604953895,0.17987694534925805,0.18382886149383612,0.18185111392863612,0.18673932788374206,0.193678055910835,0.20780181179515622,0.23707631130467716,0.17575867052023122
F-3,vae,contextual,5600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2,lstm,contextual,1110,0.0845341018251681,0.1525096525096525,0.2680311890838207,0.21823472356935014,0.35073891625615766,0.4537131230925738,0.6245919477693145,0.797724399494311,0.017208413001912046
M-2,vae,contextual,1110,0.4434389140271493,0.45454545454545453,0.47706422018348627,0.4657534246575342,0.5023169601482854,0.5787965616045845,0.6826042726347915,0.8608187134502924,0.43243243243243246
T-5,lstm,point,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T-5,vae,point,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-1,lstm,point,1350,0.0234192037470726,0.04310344827586207,0.08293838862559241,0.06294256490952006,0.12749003984063745,0.2616516762060507,0.5297670405522001,0.8981571290009699,0.0038880248833592537
C-1,vae,point,1350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D-14,lstm,point,1630,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D-14,vae,point,1630,0.9944615384615385,0.9975308641975309,1.0,1.0,1.0,1.0,1.0,1.0,0.9914110429447853
