chan_id,spacecraft,anomaly_class,cls,detector,threshold,fp_rate_no_injection,f1_pa,p_pa,r_pa,f1_pw,p_pw,r_pw,lat,n_seg,n_det,n_timely_5,n_timely_10,n_timely_20
P-1,SMAP,"[contextual, contextual, contextual]",contextual,lstm,0.8309518098831177,0.05587989991659716,0.7675731144176501,0.6228143213988343,1.0,0.048740861088545896,0.062111801242236024,0.040106951871657755,29.0,3,3,1,1,1
P-1,SMAP,"[contextual, contextual, contextual]",contextual,vae,2.1845717430114746,0.02185195301830101,0.0,0.0,0.0,0.0,0.0,0.0,,3,0,0,0,0
E-8,SMAP,[point],point,lstm,0.07208368182182312,0.08020989505247376,0.6263846928499497,0.4560117302052786,1.0,0.2134905042567125,0.18011049723756906,0.2620578778135048,18.0,1,1,0,0,1
E-8,SMAP,[point],point,vae,1.7962706089019775,0.0,0.9510703363914373,0.9067055393586005,1.0,0.5678496868475992,0.8095238095238095,0.43729903536977494,216.0,1,1,0,0,0
E-10,SMAP,"[contextual, contextual]",contextual,lstm,2.3496694564819336,0.02086709886547812,0.7852760736196319,0.6464646464646465,1.0,0.6512261580381471,0.5772946859903382,0.746875,9.5,2,2,0,2,2
E-10,SMAP,"[contextual, contextual]",contextual,vae,2.1497647762298584,0.0,0.8881578947368421,0.9375,0.84375,0.8881578947368421,0.9375,0.84375,0.0,2,1,1,1,1
P-2,SMAP,[point],point,lstm,2.3309361934661865,0.039727582292849034,0.7348530293941212,0.5808440018966334,1.0,0.44411656215418666,0.40511440107671604,0.49142857142857144,1.0,1,1,1,1,1
P-2,SMAP,[point],point,vae,1.6318633556365967,0.07177570093457944,0.541915505419155,0.3716626213592233,1.0,0.541915505419155,0.3716626213592233,1.0,0.0,1,1,1,1,1
D-4,SMAP,[point],point,lstm,0.037130385637283325,0.0036814570819608604,0.9969296898986798,0.9938781756963575,1.0,0.995850622406639,0.9938650306748467,0.9978441638435479,2.0,1,1,1,1,1
D-4,SMAP,[point],point,vae,2.856877565383911,0.06430622009569378,0.9495540283667203,0.9039532293986637,1.0,0.9483238178890353,0.9037388392857143,0.997536187249769,0.0,1,1,1,1,1
G-1,SMAP,[contextual],contextual,lstm,0.520263671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,0,0,0,0
G-1,SMAP,[contextual],contextual,vae,1.9968398809432983,0.12746331236897274,0.0,0.0,0.0,0.0,0.0,0.0,,1,0,0,0,0
G-2,SMAP,[point],point,lstm,4.971471412318351e-08,0.0,0.851063829787234,0.7407407407407407,1.0,0.5,0.5625,0.45,11.0,1,1,0,0,1
G-2,SMAP,[point],point,vae,2.9322545742616057e-05,0.0,0.5263157894736842,0.35714285714285715,1.0,0.5263157894736842,0.35714285714285715,1.0,0.0,1,1,1,1,1
D-5,SMAP,[point],point,lstm,0.2766331434249878,1.0,0.013133701076963489,0.006610259122157589,1.0,0.013133701076963489,0.006610259122157589,1.0,0.0,1,1,1,1,1
D-5,SMAP,[point],point,vae,4.165985584259033,1.0,0.013044612575006522,0.006565126050420168,1.0,0.013044612575006522,0.006565126050420168,1.0,0.0,1,1,1,1,1
G-3,SMAP,[point],point,lstm,14.605360984802246,0.0,1.0,1.0,1.0,0.07692307692307693,1.0,0.04,12.0,1,1,0,0,1
G-3,SMAP,[point],point,vae,19.33945083618164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,0,0,0,0
T-2,SMAP,[point],point,lstm,0.02117474190890789,0.720926800472255,0.42204873432694584,0.2674662668665667,1.0,0.10484443813041625,0.07021883920076118,0.2068385650224215,1.0,1,1,1,1,1
T-2,SMAP,[point],point,vae,1.6084377765655518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,0,0,0,0
D-9,SMAP,[point],point,lstm,4.731207425834327e-09,0.0,1.0,1.0,1.0,0.8904899135446686,1.0,0.8025974025974026,223.0,1,1,0,0,0
D-9,SMAP,[point],point,vae,6.824181764386594e-05,0.0,1.0,1.0,1.0,0.9160018770530267,1.0,0.845021645021645,166.0,1,1,0,0,0
G-4,SMAP,[point],point,lstm,2.065474033355713,0.030263726761781237,0.18691588785046728,0.10309278350515463,1.0,0.02711864406779661,0.01509433962264151,0.13333333333333333,16.0,1,1,0,0,1
G-4,SMAP,[point],point,vae,1.8605260848999023,0.0,0.4225352112676056,0.26785714285714285,1.0,0.4225352112676056,0.26785714285714285,1.0,0.0,1,1,1,1,1
B-1,SMAP,[point],point,lstm,4.381738083480968e-09,0.0,0.045841519318926,0.023458445040214475,1.0,0.03490286466908133,0.017863161442534546,0.7571428571428571,17.0,1,1,0,0,1
B-1,SMAP,[point],point,vae,1.3442548151942901e-05,0.0,0.04548408057179987,0.02327127659574468,1.0,0.04548408057179987,0.02327127659574468,1.0,0.0,1,1,1,1,1
R-1,SMAP,[point],point,lstm,4.011624366029309e-09,1.0,0.02203856749311295,0.011142061281337047,1.0,0.02203856749311295,0.011142061281337047,1.0,0.0,1,1,1,1,1
R-1,SMAP,[point],point,vae,5.356751353247091e-05,0.0,0.8333333333333334,0.7142857142857143,1.0,0.8333333333333334,0.7142857142857143,1.0,0.0,1,1,1,1,1
A-8,SMAP,[contextual],contextual,lstm,0.65794438123703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,0,0,0,0
A-8,SMAP,[contextual],contextual,vae,2.5300846099853516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,0,0,0,0
F-3,SMAP,[contextual],contextual,lstm,4.889839328825474e-05,0.17575867052023122,0.02789400278940028,0.014144271570014143,1.0,0.013347383210396909,0.006768792304951906,0.475,11.0,1,1,0,0,1
F-3,SMAP,[contextual],contextual,vae,1.8661850690841675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,0,0,0,0
M-2,MSL,[contextual],contextual,lstm,1.0537757873535156,0.017208413001912046,0.9917355371900827,0.9836065573770492,1.0,0.14708233413269384,0.8288288288288288,0.08070175438596491,40.0,1,1,0,0,0
M-2,MSL,[contextual],contextual,vae,4.490581512451172,0.43243243243243246,0.8177905308464849,0.691747572815534,1.0,0.8177905308464849,0.691747572815534,1.0,0.0,1,1,1,1,1
T-5,MSL,[point],point,lstm,2.1593506982497956e-09,0.0,0.7246376811594203,0.5681818181818182,1.0,0.45614035087719296,0.40625,0.52,12.0,1,1,0,0,1
T-5,MSL,[point],point,vae,0.0001067940829670988,0.0,0.32679738562091504,0.1953125,1.0,0.32679738562091504,0.1953125,1.0,0.0,1,1,1,1,1
C-1,MSL,"[point, contextual]",point,lstm,1.8882758617401123,0.0038880248833592537,0.9904153354632588,0.9810126582278481,1.0,0.037267080745341616,0.5,0.01935483870967742,4.0,2,2,1,2,2
C-1,MSL,"[point, contextual]",point,vae,3.4791932106018066,0.0,0.7518796992481203,0.9009009009009009,0.6451612903225806,0.22459893048128343,0.65625,0.13548387096774195,0.0,2,1,1,1,1
D-14,MSL,"[point, point]",point,lstm,3.344582211184388e-08,0.0,0.8924949290060852,0.8058608058608059,1.0,0.8481012658227848,0.7913385826771654,0.9136363636363637,9.5,2,2,1,1,2
D-14,MSL,"[point, point]",point,vae,6.0932601627428085e-05,0.9914110429447853,0.15471167369901548,0.08384146341463415,1.0,0.15471167369901548,0.08384146341463415,1.0,0.0,2,2,2,2,2
