chan_id,detector,anomaly_idx,cls,start,end,duration,detected,latency
P-1,lstm,0,contextual,2149,2349,200,1,34.0
P-1,lstm,1,contextual,4536,4844,308,1,50.0
P-1,lstm,2,contextual,3539,3779,240,1,3.0
P-1,vae,0,contextual,2149,2349,200,0,
P-1,vae,1,contextual,4536,4844,308,0,
P-1,vae,2,contextual,3539,3779,240,0,
E-8,lstm,0,point,5400,6022,622,1,18.0
E-8,vae,0,point,5400,6022,622,1,216.0
E-10,lstm,0,contextual,5000,5050,50,1,9.0
E-10,lstm,1,contextual,5601,5871,270,1,10.0
E-10,vae,0,contextual,5000,5050,50,0,
E-10,vae,1,contextual,5601,5871,270,1,0.0
P-2,lstm,0,point,5350,6575,1225,1,1.0
P-2,vae,0,point,5350,6575,1225,1,0.0
D-4,lstm,0,point,5225,8472,3247,1,2.0
D-4,vae,0,point,5225,8472,3247,1,0.0
G-1,lstm,0,contextual,4770,4890,120,0,
G-1,vae,0,contextual,4770,4890,120,0,
G-2,lstm,0,point,4030,4070,40,1,11.0
G-2,vae,0,point,4030,4070,40,1,0.0
D-5,lstm,0,point,4800,4850,50,1,0.0
D-5,vae,0,point,4800,4850,50,1,0.0
G-3,lstm,0,point,4200,4250,50,1,12.0
G-3,vae,0,point,4200,4250,50,0,
T-2,lstm,0,point,6840,8624,1784,1,1.0
T-2,vae,0,point,6840,8624,1784,0,
D-9,lstm,0,point,6250,7405,1155,1,223.0
D-9,vae,0,point,6250,7405,1155,1,166.0
G-4,lstm,0,point,4690,4720,30,1,16.0
G-4,vae,0,point,4690,4720,30,1,0.0
B-1,lstm,0,point,5060,5130,70,1,17.0
B-1,vae,0,point,5060,5130,70,1,0.0
R-1,lstm,0,point,4510,4590,80,1,0.0
R-1,vae,0,point,4510,4590,80,1,0.0
A-8,lstm,0,contextual,4569,8374,3805,0,
A-8,vae,0,contextual,4569,8374,3805,0,
F-3,lstm,0,contextual,5600,5640,40,1,11.0
F-3,vae,0,contextual,5600,5640,40,0,
M-2,lstm,0,contextual,1110,2250,1140,1,40.0
M-2,vae,0,contextual,1110,2250,1140,1,0.0
T-5,lstm,0,point,1200,1225,25,1,12.0
T-5,vae,0,point,1200,1225,25,1,0.0
C-1,lstm,0,point,550,750,200,1,0.0
C-1,lstm,1,point,2100,2210,110,1,8.0
C-1,vae,0,point,550,750,200,1,0.0
C-1,vae,1,point,2100,2210,110,0,
D-14,lstm,0,point,1630,1650,20,1,4.0
D-14,lstm,1,point,1800,2000,200,1,15.0
D-14,vae,0,point,1630,1650,20,1,0.0
D-14,vae,1,point,1800,2000,200,1,0.0
