chan_id,spacecraft,anomaly_class,n_windows,n_anom_windows,anomaly_fraction,svm_precision,svm_recall,svm_f1,ann_precision,ann_recall,ann_f1,note
P-1,SMAP,"[contextual, contextual, contextual]",528,57,0.10795454545454546,0.1047,0.7018,0.1822,0.0757,0.2456,0.1157,ok
S-1,SMAP,[point],455,31,0.06813186813186813,1.0,0.6452,0.7843,1.0,0.4516,0.6222,ok
E-1,SMAP,"[contextual, contextual]",529,37,0.06994328922495274,0.1294,0.5946,0.2126,0.2381,0.2703,0.2532,ok
E-2,SMAP,[point],530,90,0.16981132075471697,0.0863,0.9444,0.1581,0.0798,0.8667,0.1461,ok
E-3,SMAP,[point],516,201,0.38953488372093026,0.088,0.9652,0.1613,0.0859,0.9403,0.1575,ok
E-4,SMAP,[point],519,178,0.34296724470134876,0.0867,0.9494,0.1589,0.0881,0.9663,0.1615,ok
E-5,SMAP,[point],515,23,0.04466019417475728,0.0909,1.0,0.1667,0.0,0.0,0.0,ok
E-6,SMAP,[point],515,7,0.013592233009708738,0.1765,0.8571,0.2927,1.0,0.5714,0.7273,ok
E-7,SMAP,[point],516,21,0.040697674418604654,1.0,0.6667,0.8,1.0,0.5714,0.7273,ok
E-8,SMAP,[point],530,42,0.07924528301886792,0.087,0.9524,0.1594,0.1042,0.8333,0.1852,ok
E-9,SMAP,[point],515,25,0.04854368932038835,0.0775,0.84,0.1419,0.0706,0.76,0.1293,ok
E-10,SMAP,"[contextual, contextual]",528,27,0.05113636363636364,1.0,0.7037,0.8261,1.0,0.3704,0.5405,ok
E-11,SMAP,"[contextual, contextual]",529,25,0.04725897920604915,1.0,0.76,0.8636,1.0,0.4,0.5714,ok
E-12,SMAP,"[contextual, contextual]",529,43,0.08128544423440454,0.1313,0.6047,0.2158,1.0,0.2326,0.3774,ok
E-13,SMAP,"[contextual, contextual, contextual]",537,26,0.048417132216014895,0.0904,0.5769,0.1562,0.0824,0.2692,0.1261,ok
A-1,SMAP,[point],537,8,0.0148975791433892,0.0909,1.0,0.1667,0.0909,1.0,0.1667,ok
D-1,SMAP,[point],528,203,0.38446969696969696,1.0,0.9655,0.9825,1.0,0.8916,0.9427,ok
P-2,SMAP,[point],510,80,0.1568627450980392,1.0,1.0,1.0,0.2572,1.0,0.4092,ok
P-3,SMAP,[point],527,87,0.1650853889943074,0.089,0.977,0.1631,0.0852,0.931,0.1561,ok
D-2,SMAP,[point],534,267,0.5,1.0,0.9026,0.9488,1.0,0.8727,0.932,ok
D-3,SMAP,[point],537,208,0.38733705772811916,1.0,0.9712,0.9854,1.0,0.9663,0.9829,ok
D-4,SMAP,[point],526,203,0.38593155893536124,1.0,0.9951,0.9975,1.0,0.9951,0.9975,ok
A-2,SMAP,[contextual],491,10,0.020366598778004074,0.1475,0.9,0.2535,1.0,0.2,0.3333,ok
A-3,SMAP,[contextual],509,15,0.029469548133595286,0.1633,0.5333,0.25,0.1333,0.1333,0.1333,ok
A-4,SMAP,[contextual],502,10,0.0199203187250996,0.3043,0.7,0.4242,0.1176,0.2,0.1481,ok
G-1,SMAP,[contextual],526,11,0.02091254752851711,1.0,0.9091,0.9524,0.0909,1.0,0.1667,ok
G-2,SMAP,[point],457,5,0.010940919037199124,1.0,0.8,0.8889,1.0,0.8,0.8889,ok
D-5,SMAP,[point],473,6,0.012684989429175475,0.0909,0.8333,0.1639,0.0909,1.0,0.1667,ok
D-6,SMAP,[point],489,8,0.016359918200409,0.0909,1.0,0.1667,0.0476,0.5,0.087,ok
D-7,SMAP,[point],474,168,0.35443037974683544,1.0,0.9702,0.9849,1.0,0.8333,0.9091,ok
F-1,SMAP,[point],533,9,0.016885553470919325,0.32,0.8889,0.4706,1.0,0.4444,0.6154,ok
P-4,SMAP,"[point, point, point]",483,38,0.07867494824016563,1.0,0.5263,0.6897,1.0,0.4211,0.5926,ok
G-3,SMAP,[point],491,7,0.014256619144602852,1.0,0.5714,0.7273,0.0,0.0,0.0,ok
