chan_id,spacecraft,anomaly_class,epochs_run,lstm_best_f1,lstm_best_threshold,lstm_k3_f1,lstm_mixF1_f1,lstm_synthRecall_f1,lstm_synthMedian_f1,lstm_bestK_f1,lstm_p4_disc_f1,note
P-1,SMAP,"[contextual, contextual, contextual]",78,0.803,p99,0.7175,0.3465,0.5075,0.3514,0.7175,0.4585,ok
E-8,SMAP,[point],84,0.4666,k4.0,0.441,0.4433,0.446,0.4529,0.441,0.8293,ok
E-10,SMAP,"[contextual, contextual]",51,0.8767,p99,0.8174,0.1686,0.5585,0.1746,0.8174,0.0728,ok
P-2,SMAP,[point],37,0.934,k4.0,0.9014,0.3275,0.744,0.3286,0.9014,0.2674,ok
D-4,SMAP,[point],100,0.9991,k3.5,0.9978,0.9907,0.9908,0.9908,0.9978,0.9428,ok
G-1,SMAP,[contextual],61,0.0,none,0.0,0.0364,0.0,0.0362,0.0,0.0628,ok
G-2,SMAP,[point],23,0.7018,k1.0,0.7018,1.0,0.7018,1.0,0.7018,0.0,ok
D-5,SMAP,[point],100,0.0131,k1.0,0.0131,0.0131,0.0131,0.0131,0.0131,0.0,ok
G-3,SMAP,[point],36,1.0,k4.0,0.9901,0.9434,0.9434,0.9434,0.9901,0.0,ok
T-2,SMAP,[point],79,0.4895,p99,0.4594,0.8465,0.9289,0.9459,0.4883,0.3457,ok
D-9,SMAP,[point],23,1.0,k1.0,1.0,1.0,1.0,1.0,1.0,0.9996,ok
G-4,SMAP,[point],92,0.3371,p99,0.178,0.1017,0.1022,0.1022,0.178,0.0,ok
B-1,SMAP,[point],22,0.0458,k1.0,0.0458,0.0458,0.0458,0.0458,0.0458,0.0453,ok
R-1,SMAP,[point],22,0.022,k1.0,0.022,1.0,0.022,1.0,0.022,0.0,ok
A-8,SMAP,[contextual],29,0.9962,k1.5,0.0,0.7875,0.7849,0.7879,0.0,0.0,ok
F-3,SMAP,[contextual],44,0.0278,k4.0,0.02,0.2279,0.0193,0.2439,0.0278,0.0,ok
M-2,MSL,[contextual],100,0.993,k4.0,0.9926,0.9488,0.9492,0.9492,0.9926,0.7517,ok
T-5,MSL,[point],23,0.6757,k1.0,0.6757,1.0,0.6757,1.0,0.6757,0.4762,ok
C-1,MSL,"[point, contextual]",100,0.9904,k3.0,0.9904,0.5359,0.6506,0.5391,0.9904,0.3053,ok
D-14,MSL,"[point, point]",22,0.9053,k1.0,0.9053,1.0,0.9053,1.0,0.9053,0.8365,ok
