chan_id,spacecraft,anomaly_class,svm_p4_f1,vae_p4_f1,lstm_p4_f1,lstm_p4_disc_f1,p1_threshold_f1,p2_svm_f1,p2_vae_best_f1,p2_vae_k3_f1,p2_lstm_best_f1,p2_lstm_k3_f1,p3_tstr_f1
P-1,SMAP,"[contextual, contextual, contextual]",0.169,0.0,0.7175,0.4585,0.0114678899082568,0.1822,0.2745,0.0,0.8135,0.7259,0.24
E-8,SMAP,[point],0.2205,0.9511,0.441,0.8293,0.0,0.1594,1.0,0.9511,0.637,0.6128,0.4561
E-10,SMAP,"[contextual, contextual]",0.65,0.8882,0.8174,0.0728,0.0,0.8261,0.9122,0.8882,0.8743,0.8,0.6829
P-2,SMAP,[point],0.3711,0.5233,0.9014,0.2674,0.693051890941073,1.0,0.5786,0.5418,0.9441,0.888,0.4173
D-4,SMAP,[point],1.0,0.9428,0.9978,0.9428,0.998149290561382,0.9975,0.9472,0.9428,0.9991,0.9971,0.9975
G-1,SMAP,[contextual],0.0447,0.0,0.0,0.0628,0.0,0.9524,0.0,0.0,0.8856,0.0,0.0425
G-2,SMAP,[point],0.8889,0.5263,0.7018,0.0,0.048780487804878,0.8889,0.5263,0.5263,0.7477,0.7477,0.8889
D-5,SMAP,[point],0.2857,0.013,0.0131,0.0,0.0119885327078446,0.1639,0.013,0.013,0.0131,0.0131,0.0251
G-3,SMAP,[point],0.5333,0.0,0.9901,0.0,0.0392156862745098,0.7273,0.365,0.0,1.0,1.0,0.5333
T-2,SMAP,[point],0.0,0.0,0.4594,0.3457,0.0,0.1104,1.0,0.0,0.6113,0.5363,0.0
D-9,SMAP,[point],0.8992,0.9996,1.0,0.9996,0.8835186080231996,0.8992,0.9996,0.9996,1.0,1.0,0.8992
G-4,SMAP,[point],0.8889,0.4225,0.178,0.0,0.125,0.6154,0.4225,0.4225,0.4054,0.1911,0.8889
B-1,SMAP,[point],0.0725,0.0453,0.0458,0.0453,0.0349028646690813,0.9333,0.0453,0.0453,0.0458,0.0458,0.0725
R-1,SMAP,[point],0.6667,0.0218,0.022,0.0,0.0218459858001092,0.1667,0.0218,0.0218,0.022,0.022,0.6667
A-8,SMAP,[contextual],0.5595,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.9712,0.0,0.6128
F-3,SMAP,[contextual],0.0,0.0,0.02,0.0,0.0,0.1667,0.0,0.0,0.0303,0.0222,0.0
M-2,MSL,[contextual],0.027,0.8163,0.9926,0.7517,0.6968674698795181,0.9571,0.8523,0.8163,0.9917,0.9917,0.0759
T-5,MSL,[point],1.0,0.3268,0.6757,0.4762,0.3333333333333333,1.0,0.3268,0.3268,0.4854,0.4854,1.0
C-1,MSL,"[point, contextual]",0.2222,0.7519,0.9904,0.3053,0.0,0.7317,0.7519,0.7519,0.9904,0.9904,0.2703
D-14,MSL,"[point, point]",0.9744,0.7097,0.9053,0.8365,0.916256157635468,0.9744,0.7097,0.7097,0.8679,0.8679,0.9744
