chan_id,spacecraft,anomaly_class,epochs_run,vae_best_f1,vae_best_threshold,vae_k3_f1,vae_mixF1_f1,vae_synthRecall_f1,vae_synthMedian_f1,vae_bestK_f1,note
P-1,SMAP,"[contextual, contextual, contextual]",25,0.2745,k2.0,0.0,0.1617,0.1457,0.1617,0.0,ok
E-8,SMAP,[point],59,1.0,k3.5,0.9511,0.3289,0.8383,0.1698,0.9511,ok
E-10,SMAP,"[contextual, contextual]",67,0.9122,k3.5,0.8882,0.0725,0.177,0.0725,0.8882,ok
P-2,SMAP,[point],100,0.5476,k4.0,0.5233,0.2597,0.372,0.2597,0.5233,ok
D-4,SMAP,[point],21,0.9494,k4.0,0.9428,0.677,0.9256,0.677,0.9428,ok
G-1,SMAP,[contextual],21,0.0,none,0.0,0.0292,0.0,0.0283,0.0,ok
G-2,SMAP,[point],100,0.5263,k1.0,0.5263,0.0,0.0191,0.0,0.5263,ok
D-5,SMAP,[point],29,0.013,k1.0,0.013,0.013,0.013,0.013,0.013,ok
G-3,SMAP,[point],43,0.365,p90,0.0,0.6173,0.365,0.6173,0.0,ok
T-2,SMAP,[point],100,1.0,k2.0,0.0,0.3428,0.6737,0.3428,0.0,ok
D-9,SMAP,[point],100,0.9996,k1.0,0.9996,0.9996,0.9996,0.9996,0.9996,ok
G-4,SMAP,[point],47,0.4225,k2.0,0.4225,0.0078,0.0372,0.0078,0.4225,ok
B-1,SMAP,[point],100,0.0453,k1.0,0.0453,0.0453,0.0453,0.0453,0.0453,ok
R-1,SMAP,[point],100,0.0218,k1.0,0.0218,0.0,0.0218,0.0,0.0218,ok
A-8,SMAP,[contextual],23,0.0,none,0.0,0.7215,0.0,0.7171,0.0,ok
F-3,SMAP,[contextual],21,0.0,none,0.0,0.0115,0.0,0.0114,0.0,ok
M-2,MSL,[contextual],21,0.8523,p99,0.8163,0.6899,0.7936,0.6865,0.8163,ok
T-5,MSL,[point],100,0.3268,k1.0,0.3268,0.365,0.3268,0.4132,0.3268,ok
C-1,MSL,"[point, contextual]",69,0.7519,k2.5,0.7519,0.2409,0.5277,0.2409,0.7519,ok
D-14,MSL,"[point, point]",100,0.7097,k1.0,0.7097,0.7097,0.7097,0.7097,0.7097,ok
