chan_id,spacecraft,anomaly_class,r0_s0,r0_s500,r0_s1000,r0_s2000,r5_s0,r5_s500,r5_s1000,r5_s2000,r10_s0,r10_s500,r10_s1000,r10_s2000,r20_s0,r20_s500,r20_s1000,r20_s2000,r9999_s0,r9999_s500,r9999_s1000,r9999_s2000
P-1,SMAP,"[contextual, contextual, contextual]",0.0,0.1972,0.169,0.1714,0.1311,0.1972,0.169,0.1714,0.1587,0.1972,0.169,0.1714,0.1905,0.1944,0.169,0.1714,0.2941,0.1791,0.1791,0.1739
E-8,SMAP,[point],0.0,0.2545,0.2205,0.1965,0.0,0.2403,0.1701,0.183,0.1278,0.2121,0.209,0.1602,0.1289,0.1696,0.1772,0.1628,0.1442,0.1381,0.1389,0.1394
E-10,SMAP,"[contextual, contextual]",0.0,0.65,0.65,0.65,0.0,0.65,0.65,0.65,0.6154,0.5532,0.65,0.65,0.6154,0.65,0.65,0.65,0.6829,0.6829,0.6829,0.6829
P-2,SMAP,[point],0.0,0.3775,0.3711,0.3202,0.0,0.3784,0.3793,0.3202,0.6124,0.3775,0.3775,0.308,0.6054,0.3821,0.3919,0.3347,0.594,0.5302,0.4877,0.427
D-4,SMAP,[point],0.0,1.0,1.0,1.0,0.8767,1.0,1.0,1.0,0.9103,0.9975,1.0,1.0,0.9951,0.9975,1.0,1.0,0.9058,0.9058,0.9103,0.9186
G-1,SMAP,[contextual],0.0,0.0457,0.0447,0.0428,0.0515,0.0457,0.0442,0.0428,0.0593,0.045,0.0446,0.0428,0.0476,0.0473,0.0442,0.0428,0.041,0.041,0.041,0.041
G-2,SMAP,[point],0.0,0.8889,0.8889,0.8889,0.8889,0.8889,0.8889,0.8889,0.8889,0.8889,0.8889,0.8889,0.8889,0.8889,0.8889,0.8889,0.8889,0.8889,0.8889,0.8889
D-5,SMAP,[point],0.0,0.0,0.2857,0.0084,0.0,0.2857,0.0084,0.0084,0.0042,0.0084,0.0084,0.0126,0.0,0.2857,0.0084,0.0084,0.0251,0.0251,0.0251,0.0251
G-3,SMAP,[point],0.0,0.5333,0.5333,0.5333,0.5333,0.5333,0.5333,0.5333,0.5333,0.5333,0.5333,0.5333,0.5333,0.5333,0.5333,0.5333,0.5333,0.5333,0.5333,0.5333
T-2,SMAP,[point],0.0,0.0,0.0,0.0,0.1333,0.0,0.0,0.0,0.0351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D-9,SMAP,[point],0.0,0.8992,0.8992,0.8992,0.8992,0.8992,0.8992,0.8992,0.8992,0.8992,0.8992,0.8992,0.8992,0.8992,0.8992,0.8992,0.8992,0.8992,0.8992,0.8992
G-4,SMAP,[point],0.0,0.8889,0.8889,0.75,0.8889,0.8889,0.8889,0.75,0.8889,0.8889,0.8889,0.8889,0.8889,0.8889,0.8889,0.8889,0.4444,0.4444,0.4444,0.4444
B-1,SMAP,[point],0.0,0.0725,0.0725,0.0725,0.0725,0.0725,0.0725,0.0725,0.0725,0.0725,0.0725,0.0725,0.0725,0.0725,0.0725,0.0725,0.0725,0.0725,0.0725,0.0725
R-1,SMAP,[point],0.0,0.6667,0.6667,0.6667,0.6667,0.6667,0.6667,0.6667,0.6667,0.6667,0.6667,0.6667,0.6667,0.6667,0.6667,0.6667,0.6667,0.6667,0.6667,0.6667
A-8,SMAP,[contextual],0.0,0.4393,0.5595,0.5513,0.5319,0.4821,0.5134,0.4798,0.3936,0.4601,0.5125,0.5269,0.4684,0.5,0.4682,0.5693,0.545,0.5571,0.5636,0.5809
F-3,SMAP,[contextual],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1333,0.0,0.2857,0.2857,0.5,0.5,0.5,0.5
M-2,MSL,[contextual],0.0,0.027,0.027,0.0533,0.027,0.027,0.027,0.0533,0.027,0.027,0.027,0.0533,0.027,0.027,0.027,0.0533,0.1039,0.1039,0.1039,0.1039
T-5,MSL,[point],0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
C-1,MSL,"[point, contextual]",0.0,0.1714,0.2222,0.2222,0.0,0.1714,0.2222,0.2222,0.0,0.1714,0.1714,0.2222,0.0741,0.1714,0.1765,0.2222,0.0588,0.1875,0.1818,0.1818
D-14,MSL,"[point, point]",0.0,0.9744,0.9744,0.9744,0.9744,0.9744,0.9744,0.9744,0.9744,0.9744,0.9744,0.9744,0.9744,0.9744,0.9744,0.9744,0.9744,0.9744,0.9744,0.9744
