alpha,duration,f1_mean,f1_median,f1_std,precision_mean,recall_mean,latency_mean,latency_median,n_channels,fp_rate_no_injection
0.0,0,0.0,0.0,0.0,0.0,0.0,,,20,0.0106
0.1,16,0.2551,0.1778,0.2633,0.2099,0.56,3.2235,0.47,20,
0.1,32,0.336,0.276,0.3025,0.285,0.6133,5.9488,3.83,20,
0.1,64,0.4795,0.5866,0.3262,0.4389,0.7067,12.6371,3.5,20,
0.1,128,0.6133,0.8064,0.3537,0.5681,0.7933,17.0265,7.47,20,
0.1,256,0.694,0.8952,0.3486,0.6609,0.8228,27.3553,7.0,19,
0.25,16,0.2765,0.1879,0.2582,0.2316,0.63,2.34,0.085,20,
0.25,32,0.3686,0.2675,0.289,0.3268,0.6633,5.0358,1.88,20,
0.25,64,0.5221,0.6331,0.3124,0.4847,0.7633,13.9242,2.47,20,
0.25,128,0.6541,0.8001,0.2979,0.6436,0.8233,19.6637,8.0,20,
0.25,256,0.7423,0.8899,0.2848,0.7295,0.8632,30.6856,6.465,19,
0.5,16,0.3281,0.3497,0.2575,0.295,0.6933,1.5937,0.33,20,
0.5,32,0.415,0.382,0.2851,0.3808,0.7067,3.0758,0.07,20,
0.5,64,0.5583,0.6196,0.2998,0.5181,0.8,7.2474,0.8,20,
0.5,128,0.6723,0.7847,0.2978,0.6413,0.8433,14.4368,1.33,20,
0.5,256,0.7908,0.9102,0.2876,0.7429,0.9281,26.3406,0.33,19,
0.75,16,0.3462,0.2951,0.2716,0.289,0.7333,0.8747,0.0,20,
0.75,32,0.4565,0.4464,0.3024,0.4006,0.77,2.5568,0.0,20,
0.75,64,0.5627,0.6032,0.3036,0.5315,0.79,3.5416,0.0,20,
0.75,128,0.6909,0.7802,0.2893,0.6521,0.8667,11.3479,0.6,20,
0.75,256,0.7931,0.9096,0.2882,0.738,0.9333,19.8661,0.73,19,
1.0,16,0.3748,0.3481,0.289,0.3127,0.7733,0.9753,0.12,20,
1.0,32,0.4936,0.5104,0.3017,0.428,0.82,1.6837,0.08,20,
1.0,64,0.5907,0.6441,0.2964,0.5429,0.83,3.3042,0.47,20,
1.0,128,0.7078,0.8172,0.3037,0.6522,0.8933,8.0974,0.07,20,
1.0,256,0.802,0.909,0.2492,0.7565,0.9386,19.9768,0.2,19,
1.5,16,0.4409,0.371,0.2762,0.3605,0.8967,0.761,0.1,20,
1.5,32,0.5611,0.563,0.2867,0.4864,0.9167,1.8245,0.2,20,
1.5,64,0.6671,0.722,0.2799,0.6034,0.9333,2.404,0.3,20,
1.5,128,0.7715,0.8381,0.2579,0.7161,0.9667,7.0635,0.165,20,
1.5,256,0.8454,0.927,0.2161,0.7913,0.986,10.1668,0.07,19,
