chan_id,spacecraft,anomaly_class,alpha,duration,f1,precision,recall,latency_steps,n_replicas_valid,mean_injections_per_replica,fp_rate_no_injection
P-1,SMAP,"[contextual, contextual, contextual]",0.0,0,0.0,0.0,0.0,,1,0.0,0.05588
P-1,SMAP,"[contextual, contextual, contextual]",0.1,16,0.2041,0.123,0.6,7.13,5,3.0,
P-1,SMAP,"[contextual, contextual, contextual]",0.1,32,0.4145,0.2799,0.8,9.23,5,3.0,
P-1,SMAP,"[contextual, contextual, contextual]",0.1,64,0.6709,0.5048,1.0,16.53,5,3.0,
P-1,SMAP,"[contextual, contextual, contextual]",0.1,128,0.8083,0.6782,1.0,31.13,5,3.0,
P-1,SMAP,"[contextual, contextual, contextual]",0.1,256,0.9085,0.8323,1.0,14.47,5,3.0,
P-1,SMAP,"[contextual, contextual, contextual]",0.25,16,0.1429,0.087,0.4,5.1,5,3.0,
P-1,SMAP,"[contextual, contextual, contextual]",0.25,32,0.4443,0.2989,0.8667,11.2,5,3.0,
P-1,SMAP,"[contextual, contextual, contextual]",0.25,64,0.6347,0.4816,0.9333,30.37,5,3.0,
P-1,SMAP,"[contextual, contextual, contextual]",0.25,128,0.811,0.6821,1.0,25.87,5,3.0,
P-1,SMAP,"[contextual, contextual, contextual]",0.25,256,0.9052,0.8269,1.0,25.93,5,3.0,
P-1,SMAP,"[contextual, contextual, contextual]",0.5,16,0.247,0.1485,0.7333,3.2,5,3.0,
P-1,SMAP,"[contextual, contextual, contextual]",0.5,32,0.3546,0.2418,0.6667,13.27,5,3.0,
P-1,SMAP,"[contextual, contextual, contextual]",0.5,64,0.666,0.4992,1.0,16.73,5,3.0,
P-1,SMAP,"[contextual, contextual, contextual]",0.5,128,0.8077,0.6775,1.0,14.33,5,3.0,
P-1,SMAP,"[contextual, contextual, contextual]",0.5,256,0.9035,0.824,1.0,31.87,5,3.0,
P-1,SMAP,"[contextual, contextual, contextual]",0.75,16,0.2247,0.1352,0.6667,5.6,5,3.0,
P-1,SMAP,"[contextual, contextual, contextual]",0.75,32,0.3829,0.2592,0.7333,8.9,5,3.0,
P-1,SMAP,"[contextual, contextual, contextual]",0.75,64,0.6327,0.4795,0.9333,8.9,5,3.0,
P-1,SMAP,"[contextual, contextual, contextual]",0.75,128,0.8061,0.6752,1.0,16.87,5,3.0,
P-1,SMAP,"[contextual, contextual, contextual]",0.75,256,0.9039,0.8246,1.0,12.13,5,3.0,
P-1,SMAP,"[contextual, contextual, contextual]",1.0,16,0.2214,0.1329,0.6667,3.07,5,3.0,
P-1,SMAP,"[contextual, contextual, contextual]",1.0,32,0.4345,0.2902,0.8667,3.47,5,3.0,
P-1,SMAP,"[contextual, contextual, contextual]",1.0,64,0.5573,0.43,0.8,3.73,5,3.0,
P-1,SMAP,"[contextual, contextual, contextual]",1.0,128,0.804,0.6723,1.0,23.73,5,3.0,
P-1,SMAP,"[contextual, contextual, contextual]",1.0,256,0.9023,0.8219,1.0,25.2,5,3.0,
P-1,SMAP,"[contextual, contextual, contextual]",1.5,16,0.3187,0.1896,1.0,2.67,5,3.0,
P-1,SMAP,"[contextual, contextual, contextual]",1.5,32,0.4896,0.3241,1.0,4.33,5,3.0,
P-1,SMAP,"[contextual, contextual, contextual]",1.5,64,0.6653,0.4985,1.0,5.13,5,3.0,
P-1,SMAP,"[contextual, contextual, contextual]",1.5,128,0.8069,0.6763,1.0,3.0,5,3.0,
P-1,SMAP,"[contextual, contextual, contextual]",1.5,256,0.9058,0.8278,1.0,1.73,5,3.0,
E-8,SMAP,[point],0.0,0,0.0,0.0,0.0,,1,0.0,0.15311
E-8,SMAP,[point],0.1,16,0.0436,0.023,0.4,1.62,5,3.0,
E-8,SMAP,[point],0.1,32,0.1572,0.0872,0.8,8.13,5,3.0,
E-8,SMAP,[point],0.1,64,0.2698,0.1623,0.8,18.93,5,3.0,
E-8,SMAP,[point],0.1,128,0.5033,0.3363,1.0,14.47,5,3.0,
E-8,SMAP,[point],0.1,256,0.6863,0.5225,1.0,24.93,5,3.0,
E-8,SMAP,[point],0.25,16,0.0994,0.0525,0.9333,0.93,5,3.0,
E-8,SMAP,[point],0.25,32,0.1805,0.0999,0.9333,2.53,5,3.0,
E-8,SMAP,[point],0.25,64,0.3291,0.197,1.0,2.47,5,3.0,
E-8,SMAP,[point],0.25,128,0.5044,0.3372,1.0,1.67,5,3.0,
E-8,SMAP,[point],0.25,256,0.6818,0.5172,1.0,9.93,5,3.0,
E-8,SMAP,[point],0.5,16,0.1061,0.056,1.0,0.87,5,3.0,
E-8,SMAP,[point],0.5,32,0.1921,0.1063,1.0,1.13,5,3.0,
E-8,SMAP,[point],0.5,64,0.3273,0.1957,1.0,4.0,5,3.0,
E-8,SMAP,[point],0.5,128,0.5041,0.337,1.0,1.33,5,3.0,
E-8,SMAP,[point],0.5,256,0.6879,0.5243,1.0,2.47,5,3.0,
E-8,SMAP,[point],0.75,16,0.1053,0.0556,1.0,0.33,5,3.0,
E-8,SMAP,[point],0.75,32,0.192,0.1062,1.0,1.33,5,3.0,
E-8,SMAP,[point],0.75,64,0.3256,0.1945,1.0,0.13,5,3.0,
E-8,SMAP,[point],0.75,128,0.5019,0.335,1.0,0.6,5,3.0,
E-8,SMAP,[point],0.75,256,0.6851,0.5211,1.0,0.93,5,3.0,
E-8,SMAP,[point],1.0,16,0.1052,0.0555,1.0,0.0,5,3.0,
E-8,SMAP,[point],1.0,32,0.1922,0.1063,1.0,1.33,5,3.0,
E-8,SMAP,[point],1.0,64,0.3253,0.1943,1.0,0.47,5,3.0,
E-8,SMAP,[point],1.0,128,0.5005,0.3338,1.0,0.4,5,3.0,
E-8,SMAP,[point],1.0,256,0.6876,0.524,1.0,0.27,5,3.0,
E-8,SMAP,[point],1.5,16,0.1057,0.0558,1.0,0.27,5,3.0,
E-8,SMAP,[point],1.5,32,0.192,0.1062,1.0,0.4,5,3.0,
E-8,SMAP,[point],1.5,64,0.324,0.1933,1.0,0.53,5,3.0,
E-8,SMAP,[point],1.5,128,0.4988,0.3323,1.0,0.2,5,3.0,
E-8,SMAP,[point],1.5,256,0.6831,0.5187,1.0,0.33,5,3.0,
E-10,SMAP,"[contextual, contextual]",0.0,0,0.0,0.0,0.0,,1,0.0,0.02168
E-10,SMAP,"[contextual, contextual]",0.1,16,0.0696,0.0471,0.1333,8.5,5,3.0,
E-10,SMAP,"[contextual, contextual]",0.1,32,0.358,0.2915,0.4667,14.7,5,3.0,
E-10,SMAP,"[contextual, contextual]",0.1,64,0.7159,0.613,0.8667,35.0,5,3.0,
E-10,SMAP,"[contextual, contextual]",0.1,128,0.8864,0.796,1.0,24.6,5,3.0,
E-10,SMAP,"[contextual, contextual]",0.1,256,0.9456,0.8968,1.0,40.87,5,3.0,
E-10,SMAP,"[contextual, contextual]",0.25,16,0.1819,0.1252,0.3333,8.62,5,3.0,
E-10,SMAP,"[contextual, contextual]",0.25,32,0.259,0.1915,0.4,15.83,5,3.0,
