chan_id,spacecraft,anomaly_class,epochs_run,pa_best_precision,pa_best_recall,pa_best_f1,pa_best_threshold,pa_k3_precision,pa_k3_recall,pa_k3_f1
P-1,SMAP,"[contextual, contextual, contextual]",30,0.2059,0.4118,0.2745,k2.0,0.0,0.0,0.0
S-1,SMAP,[point],61,0.9911,1.0,0.9955,k3.0,0.9911,1.0,0.9955
E-1,SMAP,"[contextual, contextual]",55,0.2313,1.0,0.3756,p95,0.0,0.0,0.0
E-2,SMAP,[point],100,1.0,1.0,1.0,k1.0,1.0,1.0,1.0
E-3,SMAP,[point],21,0.9436,1.0,0.971,k4.0,0.6587,1.0,0.7943
E-4,SMAP,[point],23,0.7729,1.0,0.8719,p99,0.0,0.0,0.0
E-5,SMAP,[point],32,0.0,0.0,0.0,none,0.0,0.0,0.0
E-6,SMAP,[point],22,0.5078,1.0,0.6736,k3.0,0.5078,1.0,0.6736
E-7,SMAP,[point],39,0.9722,1.0,0.9859,k3.0,0.9722,1.0,0.9859
E-8,SMAP,[point],53,1.0,1.0,1.0,k3.5,0.9067,1.0,0.9511
E-9,SMAP,[point],26,0.3653,1.0,0.5352,k2.0,0.0,0.0,0.0
E-10,SMAP,"[contextual, contextual]",41,0.9926,0.8438,0.9122,k3.5,0.9375,0.8438,0.8882
E-11,SMAP,"[contextual, contextual]",57,0.9455,0.8294,0.8836,k4.0,0.8438,0.8294,0.8365
E-12,SMAP,"[contextual, contextual]",38,0.4435,1.0,0.6145,p99,0.0,0.0,0.0
E-13,SMAP,"[contextual, contextual, contextual]",24,0.3673,0.387,0.3769,k3.5,0.1744,0.387,0.2405
A-1,SMAP,[point],100,0.75,1.0,0.8571,k1.0,0.75,1.0,0.8571
D-1,SMAP,[point],84,0.6509,1.0,0.7886,k4.0,0.5018,1.0,0.6682
P-2,SMAP,[point],35,0.4071,1.0,0.5786,k4.0,0.3715,1.0,0.5418
P-3,SMAP,[point],27,1.0,1.0,1.0,k1.0,1.0,1.0,1.0
D-2,SMAP,[point],100,0.9981,1.0,0.9991,k1.0,0.9981,1.0,0.9991
